web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639393781-1047;https://www.sociolla.com/177-cleanser?page=13;;https://www.sociolla.com/face-wash/7387-tamagohada-ultimate-mild-peeling-face-wash-make-up-remover;Hada Labo;Tamagohada Ultimate Mild Peeling Face Wash Make Up Remover;Tamagohada Ultimate Mild Peeling Face Wash Make Up Remover;Rp 33.660 - Rp 54.450;04.04;-507;454;Yes (340);No (67);Maybe (100)
1639394639-1183;https://www.sociolla.com/177-cleanser?page=4;;https://www.sociolla.com/face-wash/61374-miraculous-acne-solution-bubble-serum-infused-cleanser;Avoskin;Miraculous Acne Solution Bubble-Serum Infused Cleanser;Miraculous Acne Solution Bubble-Serum Infused Cleanser;Rp 152.900Rp 145.255;04.09;-19;13;Yes (16);No (0);Maybe (3)
1639393373-980;https://www.sociolla.com/177-cleanser?page=17;;https://www.sociolla.com/face-wash/49838-antioxidant-cleansing-foam;Raiku;Antioxidant Cleansing Foam;Antioxidant Cleansing Foam;Rp 88.000Rp 70.400;04.07;-321;318;Yes (262);No (3);Maybe (56)
1639392747-876;https://www.sociolla.com/177-cleanser?page=23;;https://www.sociolla.com/face-wash/27589-pond-s-men-acne-solution-facial-foam;Pond's;Pond's Men Acne Solution Facial Foam;Pond's Men Acne Solution Facial Foam;Rp 34.500Rp 26.910;04.07;-46;40;Yes (32);No (5);Maybe (9)
1639393759-1043;https://www.sociolla.com/177-cleanser?page=13;;https://www.sociolla.com/makeup-remover/12724-white-expert-make-up-remover;Safi;White Expert Make Up Remover;White Expert Make Up Remover;Rp 50.000 - Rp 89.000Rp 41.000 - Rp 71.200;04.06;(1,1k);1023;Yes (813);No (76);Maybe (184)
1639393390-983;https://www.sociolla.com/177-cleanser?page=17;;https://www.sociolla.com/face-wash/16557-facial-wash;Everwhite;Facial Wash;Facial Wash;Rp 63.800Rp 57.420;04.08;-402;299;Yes (332);No (16);Maybe (54)
1639394168-1108;https://www.sociolla.com/177-cleanser?page=9;;https://www.sociolla.com/cleansing-gel/53078-sekkisei-clear-wellness-cleansing-gel;KOSE;Sekkisei Clear Wellness Cleansing Gel;Sekkisei Clear Wellness Cleansing Gel;Rp329.000;04.06;-9;8;Yes (7);No (1);Maybe (1)
1639393469-996;https://www.sociolla.com/177-cleanser?page=16;;https://www.sociolla.com/cleansing-powder/13142-face-wash-powder;DHC;Face Wash Powder;Face Wash Powder;Rp 199.000Rp 139.300;04.06;-7;6;Yes (4);No (1);Maybe (2)
1639394374-1142;https://www.sociolla.com/177-cleanser?page=7;;https://www.sociolla.com/face-wash/26438-face-scrub-clear-solution;Pond's;Clear Solution Facial Scrub;Clear Solution Facial Scrub;Rp 20.800 - Rp 31.900Rp 17.264 - Rp 23.925;04.06;-94;83;Yes (73);No (8);Maybe (13)
1639393419-987;https://www.sociolla.com/177-cleanser?page=16;;https://www.sociolla.com/face-wash/16454-facial-foam-zaitun;Herborist;Facial Foam Zaitun;Facial Foam Zaitun;Rp 29.200Rp 17.520;04.03;-154;135;Yes (70);No (29);Maybe (55)
1639393970-1077;https://www.sociolla.com/177-cleanser?page=11;;https://www.sociolla.com/face-wash/12083-bio-renew-deep-cleanser;Bio-essence;Bio Renew Deep Cleanser;Bio Renew Deep Cleanser;Rp 79.000Rp 60.830;04.05;-27;25;Yes (18);No (4);Maybe (5)
1639394527-1165;https://www.sociolla.com/177-cleanser?page=5;;https://www.sociolla.com/face-wash/15405-scarlett-whitening-facial-wash-normal-to-dry-skin;Scarlett Whitening;Scarlett Whitening Facial Wash;Scarlett Whitening Facial Wash;Rp 82.500Rp 74.250;04.06;-238;196;Yes (170);No (12);Maybe (56)
