web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639399630-1738;https://www.sociolla.com/2303-mask?page=6;;https://www.sociolla.com/lip-mask/54524-choosy-lip-pack-honey-moisturizing-and-smoothing;CHOOSY;CHOOSY Lip Pack Honey (Moisturizing & Smoothing);CHOOSY Lip Pack Honey (Moisturizing & Smoothing);Rp 19.900Rp 17.910;04.07;-53;43;Yes (43);No (2);Maybe (8)
1639399911-1780;https://www.sociolla.com/2303-mask?page=1;;https://www.sociolla.com/sheet-mask/9037-ipi-lightmax-ampoule-mask-ex;Mediheal;I.P.I Lightmax Ampoule Mask EX;I.P.I Lightmax Ampoule Mask EX;Rp 29.000Rp 20.300;04.06;(3,7k);3553;Yes (3,1k);No (113);Maybe (505)
1639398205-1519;https://www.sociolla.com/2303-mask?page=20;;https://www.sociolla.com/clay-mask/16560-green-tea-clay-mask;Everwhite;Green Tea Clay Mask;Green Tea Clay Mask;Rp 106.700Rp 85.360;04.07;-433;334;Yes (344);No (23);Maybe (66)
1639398451-1556;https://www.sociolla.com/2303-mask?page=18;;https://www.sociolla.com/skincare/51171-vitamin-duo-sheet-mask-avocado-vitamin-e;Pond's;Vitamin Duo Sheet Mask - Avocado + Vitamin E;Vitamin Duo Sheet Mask - Avocado + Vitamin E;Rp 19.000Rp 14.820;04.08;-85;80;Yes (76);No (1);Maybe (8)
1639398445-1555;https://www.sociolla.com/2303-mask?page=18;;https://www.sociolla.com/peel-off-mask/27737-peel-off-mask-oatmeal-and-centella;Philocaly Skin;Peel Off Mask Oatmeal & Centella;Peel Off Mask Oatmeal & Centella;Rp25.000;04.06;-69;59;Yes (48);No (6);Maybe (15)
1639396523-1259;https://www.sociolla.com/2303-mask?page=36;;https://www.sociolla.com/sheet-mask/15577-taiwan-magnolia-brightening-and-firming-mask-ex;Naruko;Taiwan Magnolia Brightening & Firming Mask Ex;Taiwan Magnolia Brightening & Firming Mask Ex;Rp 360.000Rp 306.000;04.07;-43;38;Yes (36);No (3);Maybe (4)
1639397801-1452;https://www.sociolla.com/2303-mask?page=24;;https://www.sociolla.com/sheet-mask/54990-lng-cream-skin-quick-skin-pack-ol21;Laneige;LNG Cream Skin Quick Skin Pack (OL21);LNG Cream Skin Quick Skin Pack (OL21);Rp 562.000Rp 336.000;null;null;null;null;null;null
1639396512-1257;https://www.sociolla.com/2303-mask?page=36;;https://www.sociolla.com/sheet-mask/11742-gold-collagen-ampoule-mask;SNP;Gold Collagen Ampoule Mask;Gold Collagen Ampoule Mask;Rp 39.000Rp 33.150;04.05;-62;57;Yes (42);No (3);Maybe (17)
1639399094-1655;https://www.sociolla.com/2303-mask?page=11;;https://www.sociolla.com/sheet-mask/11092-airy-fit-sheet-mask-rice-and-green-tea-10pc-set;Missha;Airy Fit Sheet Mask Rice & Green Tea 10Pc Set;Airy Fit Sheet Mask Rice & Green Tea 10Pc Set;Rp 345.000Rp 172.500;null;null;null;null;null;null
1639398719-1594;https://www.sociolla.com/2303-mask?page=15;;https://www.sociolla.com/sheet-mask/27425-soothing-oatmeal-sheet-mask;St. Ives;Soothing Oatmeal Sheet Mask;Soothing Oatmeal Sheet Mask;Rp 34.300Rp 27.783;04.07;-151;140;Yes (118);No (7);Maybe (26)
